Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-03-27T18:41:35.72+00:00,46m 07s,Gold 2,E2: A2,defeat,Haven,Omen,13,15,8,25,7,2,5.084745762711865,1932,4482,0.32
2021-03-26T18:46:58.972+00:00,34m 34s,Gold 2,E2: A2,victory,Icebox,Skye,13,9,20,14,4,7,14.285714285714285,2562,2799,1.4285714285714286
2021-03-25T23:00:24.647+00:00,35m 11s,Gold 2,E2: A2,victory,Split,Sage,13,10,19,17,7,13,23.33333333333333,3113,3194,1.1176470588235294
2021-03-25T22:19:35.579+00:00,37m 06s,Gold 2,E2: A2,victory,Split,Reyna,13,9,24,15,6,17,25.37313432835821,4052,2890,1.6
2021-03-24T22:10:02.016+00:00,42m 40s,Gold 2,E2: A2,defeat,Split,Killjoy,12,14,21,18,5,12,18.08510638297873,4309,3422,1.1666666666666667
2021-03-23T23:34:15.504+00:00,39m 35s,Gold 2,E2: A2,victory,Ascent,Reyna,14,12,18,16,7,12,21.052631578947366,3412,3126,1.125
2021-03-23T22:50:47.433+00:00,26m 48s,Gold 2,E2: A2,victory,Ascent,Reyna,13,4,14,12,1,7,16.3265306122449,2593,2439,1.1666666666666667
2021-03-23T22:08:03.666+00:00,37m 42s,Gold 2,E2: A2,victory,Ascent,Reyna,13,10,29,16,5,18,24.444444444444443,5279,2929,1.8125
2021-03-20T21:43:42.326+00:00,22m 21s,Gold 2,E2: A2,victory,Ascent,Cypher,13,1,4,9,3,3,17.391304347826086,1087,1561,0.4444444444444444
2021-03-20T20:11:27.483+00:00,24m 24s,Gold 2,E2: A2,defeat,Haven,Yoru,2,13,3,14,0,1,5.88235294117647,681,2265,0.2142857142857142
2021-03-20T19:54:06.819+00:00,14m 29s,Gold 2,E2: A2,victory,Icebox,Omen,13,3,6,7,0,3,15.789473684210526,1013,1050,0.8571428571428571
2021-05-04T16:01:29.528+00:00,35m 05s,Platinum 1,E2: A3,victory,Icebox,Skye,13,9,10,14,3,3,8.571428571428571,1381,2921,0.7142857142857143
2021-05-04T15:13:40.72+00:00,32m 17s,Platinum 1,E2: A3,defeat,Bind,Omen,6,13,10,17,3,5,25.0,1642,3106,0.5882352941176471
2021-04-25T21:55:03.806+00:00,35m 49s,Platinum 1,E2: A2,victory,Icebox,Killjoy,13,9,14,17,3,9,14.705882352941178,2754,3175,0.8235294117647058
2021-04-25T20:56:21.747+00:00,36m 16s,Platinum 1,E2: A2,victory,Ascent,Killjoy,13,10,22,16,3,11,17.72151898734177,3349,2818,1.375
2021-04-25T20:12:21.787+00:00,36m 31s,Platinum 1,E2: A2,defeat,Haven,Killjoy,10,13,13,17,2,10,16.216216216216218,2581,2918,0.7647058823529411
2021-04-25T00:27:47.165+00:00,34m 38s,Platinum 1,E2: A2,defeat,Split,Reyna,10,13,20,18,3,14,25.31645569620253,3621,3382,1.1111111111111112
2021-04-24T23:41:38.373+00:00,34m 02s,Platinum 1,E2: A2,defeat,Haven,Killjoy,9,13,21,15,4,11,19.753086419753085,3985,2724,1.4
2021-04-24T23:11:45.174+00:00,26m 36s,Platinum 1,E2: A2,victory,Ascent,Reyna,13,4,26,7,3,19,30.55555555555556,3896,2096,3.7142857142857135
2021-04-24T22:38:23.908+00:00,21m 30s,Platinum 1,E2: A2,victory,Haven,Killjoy,10,3,13,10,2,6,18.6046511627907,2179,2354,1.3
2021-04-23T22:10:31.622+00:00,34m 44s,Platinum 1,E2: A2,defeat,Bind,Reyna,9,13,19,16,5,13,26.5625,3750,2609,1.1875
2021-04-23T21:28:44.154+00:00,37m 59s,Platinum 1,E2: A2,defeat,Split,Killjoy,10,13,15,18,6,10,17.105263157894736,2991,3241,0.8333333333333334
2021-04-23T20:44:31.809+00:00,28m 40s,Platinum 1,E2: A2,victory,Haven,Killjoy,13,6,24,9,4,15,22.972972972972972,3646,2408,2.6666666666666665
2021-04-23T19:52:57.829+00:00,42m 11s,Platinum 1,E2: A2,victory,Bind,Killjoy,13,11,20,16,6,12,16.161616161616163,3676,2861,1.25
2021-04-21T21:24:15.998+00:00,37m 13s,Platinum 1,E2: A2,defeat,Ascent,Killjoy,10,13,9,16,6,6,12.962962962962962,2286,3010,0.5625
2021-04-21T20:33:01.899+00:00,35m 13s,Platinum 1,E2: A2,victory,Icebox,Killjoy,13,10,20,16,9,7,10.0,4246,2936,1.25
